C:\Users\jason>tracert -4 www.amazon.com

Tracing route to d3ag4hukkh62yn.cloudfront.net [18.172.169.208]
over a maximum of 30 hops:

  1    17 ms     2 ms     2 ms  192.168.0.1
  2    12 ms    13 ms    11 ms  100.92.123.67
  3    14 ms    12 ms    12 ms  po-323-406-rur302.seattle.wa.seattle.comcast.net [24.153.87.25]
  4    12 ms    12 ms    19 ms  po-300-xar02.seattle.wa.seattle.comcast.net [69.139.164.81]
  5    14 ms    16 ms    10 ms  69.139.160.249
  6    15 ms    11 ms    10 ms  be-501-arsc1.seattle.wa.seattle.comcast.net [24.124.128.121]
  7    12 ms    17 ms    10 ms  be-36141-cs04.seattle.wa.ibone.comcast.net [68.86.93.13]
  8    12 ms    13 ms    12 ms  be-2401-pe01.seattle.wa.ibone.comcast.net [96.110.39.230]
  9    13 ms    28 ms    10 ms  75.149.228.150
 10     *        *        *     Request timed out.
 11     *        *        *     Request timed out.
 12     *        *        *     Request timed out.
 13     *        *        *     Request timed out.
 14     *        *        *     Request timed out.
 15    13 ms    27 ms    11 ms  15.230.247.0
 16    18 ms    14 ms    10 ms  server-18-172-169-208.sea73.r.cloudfront.net [18.172.169.208]

Trace complete.
